국가 코드,국가명,제조 비용 지수,화물 비용 지수,기본 관세율(%),실효 관세율(%),최종 수출 가격 지수
KR,대한민국,100.0,20.0,25.0,0.0,82.0
JP,일본,108.84303216001894,21.333333333333332,27.708,27.708,92.8146857964383
CN,중국,61.690035286752604,23.111111111111107,53.36,53.36,56.1881285123032
IN,인도,55.91921430512661,28.88888888888889,27.708,27.708,49.97412325628996
TH,태국,53.77066262350944,26.666666666666664,27.708,27.708,47.91195428544641
VN,베트남,52.688858039405886,25.77777777777778,27.708,27.708,46.90301775452501
TW,대만,71.674320499689,20.444444444444443,27.708,27.708,61.9363275832677
EU,유럽연합,128.02398131327206,24.444444444444446,26.311999999999998,26.311999999999998,108.87537871359913
MX,멕시코,71.79342411927169,14.222222222222223,0.0,0.0,58.85696151763958
