국가 코드,국가명,제조 비용 지수,화물 비용 지수,기본 관세율(%),실효 관세율(%),최종 수출 가격 지수
KR,대한민국,100.0,20.0,23.14814814814815,0.0,82.0
JP,일본,110.20607663811137,21.333333333333332,25.84444444444444,25.84444444444444,93.69775761708445
CN,중국,65.17265081939166,23.111111111111107,51.43703703703704,51.43703703703704,58.99028689881268
IN,인도,59.650087798059026,28.88888888888889,25.833333333333332,25.833333333333332,52.89621602508226
TH,태국,54.746530541769715,26.666666666666664,25.833333333333332,25.833333333333332,48.56706536130038
VN,베트남,54.15983213915368,25.77777777777778,25.833333333333332,25.833333333333332,47.97069841195478
TW,대만,72.46661611202968,20.444444444444443,25.84444444444444,25.84444444444444,62.418972076894406
EU,유럽연합,124.05456481175577,24.444444444444446,24.36296296296296,24.36296296296296,105.30597215639456
MX,멕시코,77.7341425009224,14.222222222222223,0.0,0.0,63.60953622296015
